,t,P
144,2023-10-05 11:45:00,20531.0
145,2023-10-05 11:50:00,21011.0
146,2023-10-05 11:55:00,20216.0
147,2023-10-05 12:00:00,20881.0
148,2023-10-05 12:00:00,20881.0
149,2023-10-05 12:05:00,20948.0
150,2023-10-05 12:10:00,19976.0
151,2023-10-05 12:15:00,20864.0
152,2023-10-05 12:20:00,21598.0
153,2023-10-05 12:25:00,20693.0
154,2023-10-05 12:30:00,21125.0
155,2023-10-05 12:35:00,21102.0
156,2023-10-05 12:40:00,19598.0
157,2023-10-05 12:45:00,19427.0
158,2023-10-05 12:50:00,21839.0
159,2023-10-05 12:55:00,20348.0
160,2023-10-05 13:00:00,21399.0
161,2023-10-05 13:05:00,21723.0
162,2023-10-05 13:10:00,20599.0
163,2023-10-05 13:15:00,20529.0
164,2023-10-05 13:20:00,22216.0
165,2023-10-05 13:25:00,21608.0
166,2023-10-05 13:30:00,20711.0
167,2023-10-05 13:35:00,21564.0
168,2023-10-05 13:40:00,21901.0
169,2023-10-05 13:45:00,21767.0
170,2023-10-05 13:50:00,22356.0
171,2023-10-05 13:55:00,21729.0
172,2023-10-05 14:00:00,21303.0
173,2023-10-05 14:05:00,21346.0
174,2023-10-05 14:10:00,20398.0
175,2023-10-05 14:15:00,21596.0
176,2023-10-05 14:20:00,22042.0
177,2023-10-05 14:25:00,13597.0
178,2023-10-05 14:30:00,21576.0
179,2023-10-05 14:35:00,22176.0
180,2023-10-05 14:40:00,16766.0
181,2023-10-05 14:45:00,16626.0
182,2023-10-05 14:50:00,18633.0
183,2023-10-05 14:55:00,17862.0
184,2023-10-05 15:00:00,15253.0
185,2023-10-05 15:00:00,15253.0
186,2023-10-05 15:05:00,15312.0
187,2023-10-05 15:10:00,14837.0
188,2023-10-05 15:15:00,15185.0
189,2023-10-05 15:20:00,13795.0
190,2023-10-05 15:25:00,9818.0
