,t,5297443_1_7_1,5297443_1_6_1,5297443_1_5_1,5297443_1_4_1,5297443_1_3_1,5297443_1_2_1,5297443_1_1_1,PTot
57,2024-01-30 04:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,2024-01-30 04:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,2024-01-30 04:55:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,2024-01-30 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,2024-01-30 05:05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,2024-01-30 05:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,2024-01-30 05:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,2024-01-30 05:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,2024-01-30 05:25:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,2024-01-30 05:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,2024-01-30 05:35:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,2024-01-30 05:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,2024-01-30 05:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,2024-01-30 05:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,2024-01-30 05:55:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,2024-01-30 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,2024-01-30 06:05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,2024-01-30 06:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,2024-01-30 06:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,2024-01-30 06:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,2024-01-30 06:25:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,2024-01-30 06:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,2024-01-30 06:35:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,2024-01-30 06:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,2024-01-30 06:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,2024-01-30 06:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,2024-01-30 06:55:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,2024-01-30 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,2024-01-30 07:05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,2024-01-30 07:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,2024-01-30 07:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,2024-01-30 07:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,2024-01-30 07:25:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,2024-01-30 07:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,2024-01-30 07:35:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,2024-01-30 07:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,2024-01-30 07:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,2024-01-30 07:50:00,0.0,0.0,0.0,30.0,32.0,0.0,0.0,62.0
95,2024-01-30 07:55:00,80.0,107.0,54.0,67.0,64.0,99.0,81.0,472.0
96,2024-01-30 08:00:00,237.0,220.0,195.0,187.0,170.0,174.0,207.0,1153.0
97,2024-01-30 08:05:00,508.0,310.0,389.0,382.0,261.0,297.0,304.0,1943.0
98,2024-01-30 08:10:00,834.0,792.0,730.0,679.0,382.0,601.0,662.0,3846.0
99,2024-01-30 08:15:00,1097.0,1050.0,1038.0,898.0,475.0,1018.0,831.0,5310.0
100,2024-01-30 08:20:00,1375.0,1440.0,1266.0,1144.0,633.0,1399.0,1153.0,7035.0
101,2024-01-30 08:25:00,1764.0,1884.0,1567.0,1308.0,717.0,1864.0,1319.0,8659.0
102,2024-01-30 08:30:00,2411.0,2298.0,1853.0,1979.0,989.0,2226.0,1509.0,10854.0
103,2024-01-30 08:35:00,2853.0,2912.0,2181.0,2651.0,1363.0,2604.0,2214.0,13925.0
104,2024-01-30 08:40:00,3226.0,3333.0,2460.0,3084.0,1600.0,2933.0,2885.0,16295.0
105,2024-01-30 08:45:00,3683.0,3615.0,2864.0,3420.0,1785.0,3194.0,3127.0,18005.0
106,2024-01-30 08:50:00,4124.0,4403.0,3513.0,3853.0,2128.0,3428.0,3592.0,20917.0
107,2024-01-30 08:55:00,4702.0,4934.0,3907.0,4241.0,2861.0,3727.0,3998.0,23668.0
108,2024-01-30 09:00:00,5199.0,5400.0,4341.0,4632.0,3615.0,4096.0,4211.0,26295.0
109,2024-01-30 09:05:00,5717.0,5916.0,4700.0,5005.0,3972.0,4433.0,4732.0,28758.0
110,2024-01-30 09:10:00,6116.0,6378.0,5465.0,5397.0,4400.0,4870.0,5156.0,31666.0
111,2024-01-30 09:15:00,6116.0,6378.0,5465.0,5397.0,4400.0,4870.0,5156.0,31666.0
112,2024-01-30 09:20:00,6630.0,6777.0,6116.0,5772.0,5180.0,5203.0,5529.0,34577.0
113,2024-01-30 09:25:00,7030.0,7309.0,6938.0,6186.0,6157.0,5804.0,5991.0,38385.0
114,2024-01-30 09:30:00,7531.0,7790.0,7567.0,6566.0,7135.0,6338.0,6354.0,41750.0
